task_id,dataset_id,dataset_path,title,status,error_type,pass_rate,pass_at_final,attempt_count,strategy_used,fallback_path,stagnation_events,start_time,end_time,duration_seconds,tests_provided,tests_source,tests_path,used_synthesized_tests,artifact_path,failure_signature,failing_tests,last_error
0c9d344e-6452-4d0c-a474-34d203f04f6c,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Community App - Support LaTex formulas in Markdown rendering,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:24.747440,2026-02-23T13:13:24.747621,0.000181,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
a47ab6c2-23fa-47d3-862d-f4c725245bea,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Easy | Topcoder Skill Builder Competition | ReactJS | Getting Started,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:24.852481,2026-02-23T13:13:24.852921,0.00044,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
a4826c63-5e86-45f7-899b-6ed2a3aa60f4,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Skill Builder Competition | ReactJS,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:24.957546,2026-02-23T13:13:24.958225,0.000679,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
305e0763-dd63-4883-9133-55504503953d,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Hard | Topcoder Skill Builder Competition | ReactJS  | Annotations,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:25.062600,2026-02-23T13:13:25.063503,0.000903,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
c686d72a-f0da-4e30-9eca-b75f317e5931,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Medium | Topcoder Skill Builder Competition | ReactJS | Co-learning,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:25.167658,2026-02-23T13:13:25.168750,0.001092,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
b0e66fb3-6bce-48c8-929f-9d8bebc76885,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Community App - Remove perpetual scrolling on Activity Feed page while logged out,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:25.268926,2026-02-23T13:13:25.269559,0.000633,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
70ea3d72-66a5-432d-a410-7202da79b00e,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Community App - Universal nav header / footer missing on challenge details pages,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:25.374002,2026-02-23T13:13:25.374506,0.000504,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
3cded57a-b863-4804-8d4d-21747cc9d996,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Community App - Uni nav doesn't load on Community App the first time,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:25.479033,2026-02-23T13:13:25.479502,0.000469,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
e8231040-e63f-40c4-980c-eb815062aeec,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Online Review - Logged out user is not shown as logged out in the uni nav on the List Project page,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:25.584090,2026-02-23T13:13:25.584748,0.000658,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
aeaaeac2-907e-4f11-bb09-30143522da50,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Online Review - Header menu behind other screen elements,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T13:13:25.685605,2026-02-23T13:13:25.686066,0.000461,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_smoke_v2,,,
