method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
stride_cost_aware,0,0,7,verify,repair,2.015650488877573,1,1,0,stride_cost_aware
stride_cost_aware,0,0,8,verify,repair,0.7656757207465734,1,1,0,stride_cost_aware
stride_cost_aware,0,0,9,verify,direct_solve,-0.05566885411831546,1,0,0,stride_cost_aware
stride_cost_aware,0,1,7,verify,repair,5.043699159394568,1,1,0,stride_cost_aware
stride_cost_aware,0,1,8,verify,repair,2.3181727001040073,1,1,0,stride_cost_aware
stride_cost_aware,0,1,9,verify,repair,0.7411086321782554,1,1,0,stride_cost_aware
stride_cost_aware,0,1,10,verify,repair,0.7577740358928282,1,1,0,stride_cost_aware
stride_cost_aware,0,1,11,verify,repair,1.0752051939277982,1,1,0,stride_cost_aware
stride_cost_aware,0,1,12,verify,repair,-1.4463168127391486,1,0,1,stride_cost_aware
stride_cost_aware,0,1,13,verify,repair,-1.4651278085858574,1,0,1,stride_cost_aware
stride_cost_aware,0,1,14,verify,submit,33.77059205486758,1,1,0,stride_cost_aware
stride_cost_aware,0,2,8,verify,repair,4.142361691692614,1,1,0,stride_cost_aware
stride_cost_aware,0,2,9,verify,repair,1.393141562107491,1,1,0,stride_cost_aware
stride_cost_aware,0,2,10,verify,repair,0.8478915374370084,1,1,0,stride_cost_aware
stride_cost_aware,0,2,11,verify,repair,-1.3955906765773711,1,0,1,stride_cost_aware
stride_cost_aware,0,2,12,verify,repair,-1.4171707761133927,1,0,1,stride_cost_aware
stride_cost_aware,0,2,13,verify,repair,-5.937058701776767,1,0,1,stride_cost_aware
stride_cost_aware,0,2,14,verify,repair,-7.454654978552224,1,0,1,stride_cost_aware
stride_cost_aware,0,2,15,verify,submit,37.665811706888555,1,1,0,stride_cost_aware
stride_cost_aware,0,3,9,verify,repair,4.534488530596036,1,1,0,stride_cost_aware
stride_cost_aware,0,3,10,verify,repair,2.222633982923802,1,1,0,stride_cost_aware
stride_cost_aware,0,3,11,verify,repair,1.825378597755353,1,1,0,stride_cost_aware
stride_cost_aware,0,3,12,verify,repair,-1.4207662803760455,1,0,1,stride_cost_aware
stride_cost_aware,0,3,13,verify,repair,-1.4391862207512578,1,0,1,stride_cost_aware
stride_cost_aware,0,3,14,verify,repair,-5.955631558234999,1,0,1,stride_cost_aware
stride_cost_aware,0,3,15,verify,repair,-7.470379090502233,1,0,1,stride_cost_aware
stride_cost_aware,0,3,16,verify,repair,-8.983615940744498,1,0,1,stride_cost_aware
stride_cost_aware,0,3,17,verify,repair,-11.995471544433792,1,0,1,stride_cost_aware
stride_cost_aware,0,3,18,verify,repair,-12.005856199702261,1,0,1,stride_cost_aware
stride_cost_aware,0,3,19,verify,repair,-13.515071088053537,1,0,1,stride_cost_aware
stride_cost_aware,0,3,20,verify,repair,-16.523764856669246,1,0,1,stride_cost_aware
stride_cost_aware,0,3,21,submit,repair,-16.531375749397245,1,0,1,stride_cost_aware
stride_cost_aware,0,3,22,submit,repair,-33.03818020694287,1,0,1,stride_cost_aware
stride_cost_aware,0,4,6,verify,repair,3.496499150452809,1,1,0,stride_cost_aware
stride_cost_aware,0,4,7,verify,repair,1.6422921376338862,1,1,0,stride_cost_aware
