task_id,dataset_id,status,error_type,failure_signature,failing_tests,last_error,artifact_path,tests_source
305e0763-dd63-4883-9133-55504503953d,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,failed_tests,failed_tests,005c973bc62df6599b59a10586e414beaa87358587e6f292f9048f969924fb7f,"create_learning_space_valid,create_learning_space_missing_fields,create_post_valid,create_post_invalid_markdown,add_comment_valid",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
f4c318a9-edff-45ab-9ccc-703fa2d80239,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,failed_tests,failed_tests,bd784adb79d447b072a15931d1409bcfdfe8c3b5a13b920e423a590e3c0a7beb,"valid_approval_submission,valid_rejection_submission,dropdown_not_selectable,invalid_challenge_id,no_response_selected",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
efb49126-be30-4c9a-8185-0bf98bcc9a38,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,failed_tests,failed_tests,91a3371a02798b28b4067889084942e05f18885861db1e48d6fea2ddbc8dca1b,"createUser_success,createUser_duplicateEmail,getUser_success,getUser_notFound,downloadReport_success",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
91e34246-16b8-417d-8eb6-f7dc38c9b320,challenge_data_challengeData_2023-01-01_2023-01-31_page1.json,failed_tests,failed_tests,6cd47f87e0cfbd57cf67f3001d19f3f31c2fac496e73804c5c0af469ef532fb3,io_sample_1,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,statement
156b30ad-dd11-4183-9626-a0daed357c57,challenge_data_challengeData_2023-01-01_2023-01-31_page2.json,failed_tests,failed_tests,9378f61883b011d83dc9054ea476dd3ee04a414ad7b094a41b5c86dae5fc8af8,"button_not_overlapping_footer,button_visibility_on_scroll,responsive_design_check,button_click_functionality,footer_color_check",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
213076fc-8cb4-466c-aa38-6234146c878f,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_tests,failed_tests,b5025732799b1b1eaeeba66922ed5027bb9e0a0d79626e2afdf7aeb490973cce,"custom_signature_loads_inline_reply,custom_signature_not_loaded_popout,signature_modification_triggers_alert,signature_modification_no_alert,empty_signature_on_reply",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
326139c2-ea1f-41da-ad84-5b9543198271,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_tests,failed_tests,495f38e6d3784c37e71fd6e5e6a7dfc6639f19532fc1f71777736b5a20c6f81c,"valid_quote_negotiation_workflow,quote_negotiation_with_invalid_discount,successful_api_integration_flow,api_integration_with_missing_payload,custom_workflow_template_extension",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
d3df2502-e80c-49a8-96f6-ded70d59c750,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_tests,failed_tests,ed3d38c257f82b488a5149fc6160ac7019f956f26e77eea2afb7fc9fde6694f1,"basic_integration_workflow,event_driven_workflow,error_handling_integration,large_data_payload,circular_dependency_detection",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
73d5b29a-3bef-4979-863c-80d0bae43e56,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_tests,failed_tests,d6a78afef7a85f559c4109407f2bae632257faa039fcc6d2da926e1397d44aed,"custom_schema_configuration,connection_string_without_schema,migration_with_custom_schema,invalid_schema_name",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
cd9b908a-f6d0-49ec-aca4-332916a6a7ee,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_tests,failed_tests,643a8f15071a4935c7cca362910d78e4f8bd50b793ca854ad6dbbb25630047d1,"fix_env_variable_typo,remove_sensitive_token,check_data_type_consistency,validate_timestamp_format,edge_case_empty_env_variable",,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_full_run,synthesized
