method,seed,episode,step,teacher_macro,chosen_macro,reward,override,win,regret,reason
stride_gate_plus_residual,0,0,8,verify,repair,1.0452134410589882,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,0,9,verify,repair,1.3675450245654175,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,0,10,verify,repair,0.3567765165447192,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,0,0,11,verify,repair,-2.9488933026332442,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,0,0,12,verify,submit,40.66876677272889,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,13,verify,repair,3.5541318551673435,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,14,verify,repair,-1.4226907046141224,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,15,verify,repair,0.8166737551578563,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,16,verify,repair,1.2246124653438872,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,2,0,17,verify,repair,-1.5354624825365533,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,18,verify,repair,-1.546480572074597,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,19,verify,repair,-6.056444858857265,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,20,verify,repair,-7.565211686313295,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,21,submit,repair,-9.072920089575273,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,2,0,22,submit,repair,-27.07981439227027,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,0,11,verify,repair,-0.9929905014176703,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,0,12,verify,repair,2.4493631539215563,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,13,verify,repair,2.6421492815626526,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,14,verify,repair,1.236536488872885,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,15,verify,repair,0.2825067214321112,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,0,16,verify,repair,-1.5288640940402363,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,0,17,verify,submit,25.0552646679212,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,2,10,verify,repair,-0.7492358721719699,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,2,11,verify,research_context,1.8608007737915777,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,11,verify,repair,2.817305861528479,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,12,verify,repair,4.672879679818528,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,13,verify,repair,-2.9424900125330202,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,14,verify,repair,1.5809156634872645,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,15,verify,research_context,1.157088002784229,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,16,verify,research_context,1.1688859139389172,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,3,3,18,verify,repair,-1.5057940787757769,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,19,verify,repair,-6.0152853084054065,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,3,3,20,verify,submit,39.1088363146038,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,10,verify,repair,3.42127242166044,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,12,verify,repair,0.9071327469894567,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,13,verify,repair,0.2670754018393995,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,0,14,verify,repair,-1.4876887407885822,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,4,0,15,verify,repair,-7.502544862249086,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,4,0,16,verify,repair,-7.5157817859916545,1,0,1,stride_gate_plus_residual
stride_gate_plus_residual,4,0,17,verify,submit,37.60902159288473,1,1,0,stride_gate_plus_residual
stride_gate_plus_residual,4,3,9,verify,verify,32.808109762606975,1,1,0,stride_gate_plus_residual
