task_id,dataset_id,dataset_path,title,status,error_type,pass_rate,pass_at_final,attempt_count,strategy_used,fallback_path,stagnation_events,start_time,end_time,duration_seconds,tests_provided,tests_source,tests_path,used_synthesized_tests,artifact_path,failure_signature,failing_tests,last_error,llm_calls_used,timed_out,timeout_reason
67eebff5-6369-428c-b533-be857d91f9d7,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,RTC Data Quality - Frontend update,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:21:12.262071,2026-02-23T16:22:15.490067,63.227996,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/67eebff5-6369-428c-b533-be857d91f9d7.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,17.0,False,
8b0a7f1c-86a3-46de-b549-dac53e662b3c,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Make Me a (Rails) Wizard!,skipped_failed_synthesis,synthesis_failure,0.0,False,0.0,,,0.0,2026-02-23T16:22:15.491644,2026-02-23T16:22:34.570639,19.078995,False,,,False,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,,,,0.0,False,
982e3415-a4d4-4eb5-ada7-f7dc53b9dd1d,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,Doppler App - Mobile App iOS -  Fixes Part 1,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:22:34.570909,2026-02-23T16:23:15.822658,41.251749,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/982e3415-a4d4-4eb5-ada7-f7dc53b9dd1d.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,12.0,False,
99afca18-f9aa-4c3b-b534-611f99e570ca,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,SunShot - Solar Land Solutions - Land Acquisition UI Prototype Challenge,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:23:15.822926,2026-02-23T16:23:59.555919,43.732993,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/99afca18-f9aa-4c3b-b534-611f99e570ca.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,11.0,False,
ff556541-ee83-492c-85ec-e0aea4ec6a4f,analysis_output_ai_super_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_super_analysis.csv,Mnemosyne AngularJS Web App Bug Fix Series 4,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:23:59.556520,2026-02-23T16:24:47.787219,48.230699,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/ff556541-ee83-492c-85ec-e0aea4ec6a4f.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,11.0,False,
57ea52c6-a2c3-48f3-90fa-72aa10ac0186,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Contracts Frontend Template Management Actions,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:24:47.787647,2026-02-23T16:25:34.478786,46.691139,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/57ea52c6-a2c3-48f3-90fa-72aa10ac0186.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,11.0,False,
d820250f-ae5c-403a-85c9-23acafaef884,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,BSIC Refugees 1st Place - 2,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:25:34.479395,2026-02-23T16:26:15.035164,40.555769,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/d820250f-ae5c-403a-85c9-23acafaef884.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,11.0,False,
16155839-7275-4713-9684-4906d5991783,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Topcoder Connect Landing Page HTML F2F Challenge,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:26:15.035963,2026-02-23T16:26:59.882812,44.846849,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/16155839-7275-4713-9684-4906d5991783.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,11.0,False,
2cdb240c-2417-4cd8-b257-c35e96ce017b,analysis_output_legacy_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output_legacy/ai_feasibility_analysis.csv,John Hancock - Project Snapshot Multiple Updates UI Prototype Challenge,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:26:59.883431,2026-02-23T16:27:35.238080,35.354649,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/2cdb240c-2417-4cd8-b257-c35e96ce017b.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,11.0,False,
852fdfec-3ada-4d0c-8060-add578236ad5,analysis_output_ai_feasibility_analysis.csv,/Users/karanallagh/Desktop/DataCollector/analysis/output/ai_feasibility_analysis.csv,Customer Web Portal Mobile Version Module Architecture,failed_tests,failed_tests,0.0,False,10.0,semantic_diff,contract_first->pattern_skeleton->failure_mode_first->multi_view->semantic_diff,5.0,2026-02-23T16:27:35.238756,2026-02-23T16:28:19.579866,44.34111,True,synthesized,/Users/karanallagh/Desktop/DataCollector/reports/experiments/topcoder_present_demo_v2/generated_tests/852fdfec-3ada-4d0c-8060-add578236ad5.json,True,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/topcoder_present_demo_v2,8244b816d54149a57c45046abaa0b3d280e533ff5342c4694a49cd834148f764,,,11.0,False,
