task_id,dataset_id,status,error_type,failure_signature,failing_tests,last_error,artifact_path,tests_source,raw_agent_response_path,repaired_agent_response_path
694f790b-9a05-494a-a679-212983382fba,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,failed_patch,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/694f790b-9a05-494a-a679-212983382fba_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/694f790b-9a05-494a-a679-212983382fba_agent_repair.txt
29f79b9f-32ef-43e5-8298-1028dfbf1136,challenge_data_challengeData_2025-06-01_2025-10-08_page2.json,failed_architecture_doc,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/29f79b9f-32ef-43e5-8298-1028dfbf1136_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/29f79b9f-32ef-43e5-8298-1028dfbf1136_agent_repair.txt
65b7f3c8-06a6-422b-92d9-6353fa5c3a2d,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/65b7f3c8-06a6-422b-92d9-6353fa5c3a2d_agent_raw.txt,
b094c72f-4e9c-4582-9f00-4eec70d7c687,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/b094c72f-4e9c-4582-9f00-4eec70d7c687_agent_raw.txt,
0c406e64-e1db-422b-ac9a-cdcf7523320f,challenge_data_challengeData_2025-06-01_2025-10-08_page1.json,failed_architecture_doc,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/0c406e64-e1db-422b-ac9a-cdcf7523320f_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/0c406e64-e1db-422b-ac9a-cdcf7523320f_agent_repair.txt
30377279,challenge_data_demoData.json,failed_architecture_doc,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/30377279_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/30377279_agent_repair.txt
56b3df85-e4f4-40ab-a975-2a9e6810866e,data_raw_tasks.csv,failed_architecture_doc,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/56b3df85-e4f4-40ab-a975-2a9e6810866e_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/56b3df85-e4f4-40ab-a975-2a9e6810866e_agent_repair.txt
155973f9-8d1b-41d2-b55f-7e7950552118,data_raw_tasks.csv,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/155973f9-8d1b-41d2-b55f-7e7950552118_agent_raw.txt,
30377081,challenge_data_demoData.json,failed_architecture_doc,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/30377081_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/30377081_agent_repair.txt
30377290,challenge_data_demoData.json,failed_architecture_doc,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/30377290_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/30377290_agent_repair.txt
c8bb4b8f-d9c5-48d8-b37e-e165cf4cd5f6,data_raw_tasks.csv,failed_architecture_doc,deliverable_parse_error,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/c8bb4b8f-d9c5-48d8-b37e-e165cf4cd5f6_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/c8bb4b8f-d9c5-48d8-b37e-e165cf4cd5f6_agent_repair.txt
4ecc36e0-b1d5-4d9d-81dd-616ad6fbdd8d,challenge_data_challengeData_2025-06-01_2025-10-08_page3.json,failed_architecture_doc,failed_rubric,,,,/Users/karanallagh/Desktop/DataCollector/artifacts/self_verifying/universal_demo_openai_hardened,n/a,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/4ecc36e0-b1d5-4d9d-81dd-616ad6fbdd8d_agent_raw.txt,/Users/karanallagh/Desktop/DataCollector/reports/experiments/universal_demo_openai_hardened/deliverables/4ecc36e0-b1d5-4d9d-81dd-616ad6fbdd8d_agent_repair.txt
